"name","total_bases","number","id","longitude","latitude","address"
"Fernando el Católico",24,"127",168,-3.708439,40.4338516,"Calle Fernando el Católico nº 19"
"Ferraz",24,"115",122,-3.7170448,40.4253944,"Calle Evaristo San Miguel nº 2"
"Fuencarral",27,"5",6,-3.7020599,40.428528,"Calle Fuencarral nº 108"
"General Álvarez de Castro",24,"126",163,-3.7015686,40.4344731,"Calle del General Álvarez de Castro nº 2"
"General Martínez Campos",24,"125",164,-3.6948626,40.435285,"Calle Fernández de la Hoz nº 29"
"General Pardiñas",30,"90",95,-3.6837876,40.4250361,"Calle Goya nº 18"
"General Perón 1",24,"152",142,-3.6990077,40.4527164,"Avenida del General Perón nº 1-4"
"General Perón con Poeta Joan Maragall",24,"153",143,-3.692651,40.4522938,"Avenida del General Perón nº 36"
"Glorieta de los Cuatro Caminos",24,"132",149,-3.7036675,40.4463667,"Calle Santa Engracia nº 168"
"Guzmán el Bueno",24,"123",131,-3.7133412,40.4306458,"Calle Guzmán el Bueno nº 2"
"Hortaleza",21,"7",8,-3.6977715,40.4251906,"Calle Hortaleza nº 75"
"Huertas",24,"27",31,-3.6956178,40.4132798,"Calle Jesús nº 1"
"Ibiza",24,"63",67,-3.6708959,40.4179237,"Calle Ibiza nº 62"
"Jacinto Benavente",24,"34",38,-3.7036825,40.4146755,"Plaza de Jacinto Benavente"
"Jacometrezo",24,"22",25,-3.7065376,40.4200783,"Calle Jacometrezo nº 3"
"Jesús y María",24,"43",47,-3.7025024,40.4101564,"Calle Lavapiés nº 34-36"
"Jorge Juan",24,"101",106,-3.6691523,40.4231526,"Calle Jorge Juan nº 131"
"José Abascal",24,"129",161,-3.6982209,40.4385316,"Calle José Abascal nº 33"
"José Gutiérrez Abascal",24,"139",159,-3.6907784,40.4396792,"Calle José Gutiérrez Abascal nº 2"
"Juan Bravo 50",24,"144",170,-3.6758555,40.4323655,"Calle Juan Bravo nº 50"
"Juan Martín",24,"118",126,-3.6882407,40.400781,"Calle Juan Martín el Empecinado nº 14"
"Malasaña",24,"4",5,-3.7025875,40.4285524,"Calle Manuela Malasaña nº 5"
"Manuel Silvela",24,"124",169,-3.6993465,40.4309524,"Calle Manuel Silvela nº 20"
"María Francisca 1",18,"146",155,-3.6787169,40.4442258,"Calle María Francisca nº 1"
"Marqués de Cubas",24,"29",33,-3.6957355,40.4162619,"Calle del Marqués de Cubas nº 25"
"Marqués de la Ensenada",24,"10",11,-3.6918807,40.4250863,"Calle Marqués de la Ensenada nº 16"
"Marqués de Salamanca",24,"109",115,-3.6816402,40.4300481,"Calle José Ortega y Gasset nº 30"
"Mártires Concepcionistas",27,"108",114,-3.6706024,40.4273005,"Calle Mártires Concepcionistas nº 2"
"Méndez Álvaro",24,"119",127,-3.6863218,40.4013216,"Calle Méndez Álvaro nº 11"
"Menéndez Pelayo",24,"75",79,-3.6784838,40.4082805,"Avenida de Menéndez Pelayo nº 90"
"Metro Pirámides",24,"162",133,-3.7108108,40.4034076,"Paseo de los Olmos nº 28"
"Miguel Moya",24,"2",3,-3.7058415,40.4205886,"Calle Miguel Moya nº 1"
"Moncloa",24,"110",116,-3.7206893,40.4344969,"Paseo de Moret nº 2"
"Museo Reina Sofía",24,"50",54,-3.6933463,40.4083684,"Calle Santa Isabel nº 57"
"Narváez",24,"61",65,-3.6752045,40.4213983,"Calle O'Donnell nº 28"
"Niño Jesús",24,"82",87,-3.6697526,40.4084556,"Calle Doctor Esquerdo nº 161"
"O'Donnell",24,"62",66,-3.6724968,40.4213148,"Calle O'Donnell nº 50"
"Orense 12",24,"151",145,-3.695286,40.4480662,"Calle Orense nº 12"
"Orense 36",24,"154",141,-3.6946218,40.4548456,"Calle Orense nº 36"
"Ortega y Gasset",24,"103",108,-3.6865654,40.4303057,"Calle Ortega y Gasset nº 6"
"Ortega y Gasset 87",24,"145",171,-3.6712823,40.429887,"Calle Ortega y Gasset nº 87"
"Palacio de Deportes",24,"100",105,-3.6738635,40.4248457,"Calle Goya nº 99"
"Palacio de Oriente",24,"24",27,-3.7103538,40.4182146,"Calle Carlos III nº 1"
"Palos de la Frontera",24,"120",128,-3.6944768,40.4032208,"Calle Palos de la Frontera nº 40"
"Paseo de la Castellana con Raimundo Fernández",24,"138",154,-3.6917932,40.4457414,"Paseo de la Castellana nº 67"
"Paseo de la Esperanza",21,"163",134,-3.7064516,40.4035988,"Paseo de la Esperanza nº 2"
"Paseo de la Florida",24,"161",132,-3.7218482,40.4220812,"Paseo de la Florida nº 8"
"Paseo de la Habana 42",24,"149",146,-3.6881689,40.4498613,"Paseo de la Habana nº 42"
"Paseo de la Habana 63",24,"159",173,-3.6835926,40.4543852,"Paseo de la Habana nº 63"
"Paseo de las Delicias",24,"164",136,-3.6945025,40.3972616,"Paseo de las Delicias nº 92-94"
"Paseo de Moret",24,"112",119,-3.7246532,40.4325991,"Paseo de Moret nº 11"
"Pedro Bosch",24,"78",82,-3.6744804,40.4009101,"Calle Cerro de la Plata nº 2"
"Pintor Rosales",24,"113",120,-3.7205129,40.427657,"Paseo del Pintor Rosales nº 38"
"Pío Baroja",24,"83",88,-3.6751105,40.4130243,"Calle Pío Baroja nº 10"
"Plaza Conde Suchil",18,"3",4,-3.7069171,40.4302937,"Plaza del Conde Suchil nº 2-4"
"Plaza de Celenque A",24,"25a",28,-3.7064809,40.4173114,"Plaza de Celenque nº 1"
"Plaza de Celenque B",24,"25b",29,-3.7063837,40.4172781,"Plaza de Celenque nº 1"
"Plaza de Colón",24,"93",98,-3.6893698,40.4257046,"Calle Goya nº 1"
"Plaza de España A",24,"116a",123,-3.711603,40.42402,"Plaza de España"
"Plaza de España B",24,"116b",124,-3.711703,40.42412,"Plaza de España"
"Plaza de Felipe II",24,"98",103,-3.6753567,40.4242625,"Plaza de Felipe II"
"Plaza de Juan Pujol",21,"59",63,-3.7043418,40.4255495,"Calle Espíritu Santo nº 30"
"Plaza de la Cebada",27,"39",43,-3.7088337,40.4112744,"Plaza de la Cebada nº 16"
"Plaza de la Independencia",24,"60",64,-3.688398,40.419752,"Plaza de la Independencia nº 6"
"Plaza de la Provincia",18,"32",36,-3.7061032,40.4150099,"Plaza de la Provincia nº 1"
"Plaza de la República Argentina",24,"137",152,-3.6853312,40.445411,"Plaza de la República Argentina nº 6-7"
"Plaza de las Salesas",24,"26",30,-3.694475,40.423855,"Plaza de las Salesas 7"
"Plaza de Lavapiés",24,"53",57,-3.7008803,40.4089282,"Calle Valencia nº 1"
"Plaza de los Astros",24,"73",77,-3.6689089,40.4114475,"Avenida de Nazaret nº 7"
"Plaza de los Carros",24,"38",42,-3.7120734,40.4110406,"Carrera de San Francisco nº 1"
"Plaza de Nelson Mandela",21,"44",48,-3.7040666,40.4097617,"Calle Mesón de Paredes nº 35"
"Plaza de Pedro Zerolo",24,"18",19,-3.6996502,40.4207773,"Plaza de Pedro Zerolo"
"Plaza de Ramales",24,"36",40,-3.7124038,40.4167281,"Plaza de Ramales nº 1"
"Plaza de San Ildefonso",24,"55",59,-3.7020842,40.4239757,"Plaza de San Ildefonso nº 3"
"Plaza de San Juan de la Cruz",24,"135",158,-3.6927821,40.4415974,"Plaza de San Juan de la Cruz nº 11"
"Plaza de San Miguel",24,"9",10,-3.7095084,40.4156057,"Plaza de San Miguel nº 9"
"Plaza de Santa Ana",24,"52",56,-3.7007164,40.4144226,"Plaza de Santa Ana nº 10"
"Plaza del Carmen",24,"56",60,-3.7032414,40.4184192,"Plaza del Carmen nº 1"
"Plaza del Cordón",24,"35",39,-3.7103285,40.4141931,"Plaza del Cordón nº 1"
"Plaza San Francisco",24,"37",41,-3.7144964,40.4108442,"Plaza de San Francisco nº 5"
"Pº Castellana - Glorieta de Emilio Castelar",12,"141",165,-3.6892368,40.4355143,"Paseo de la Castellana nº 43"
"Prim",24,"19",20,-3.6954983,40.4218616,"Calle Prim nº 2"
"Príncipe de Vergara",24,"91",96,-3.6787441,40.426134,"Calle Hermosilla nº 70"
"Puerta de Granada",24,"79",83,-3.6803874,40.4051451,"Avenida de Menéndez Pelayo nº 38"
"Puerta de Madrid",27,"85",90,-3.680008,40.421501,"Avenida de Menéndez Pelayo nº 11"
"Puerta de Mariano de Cavia",24,"76",80,-3.6750121,40.4076726,"Avenida del Mediterráneo nº 19"
"Puerta de Toledo",21,"45",49,-3.7110513,40.4070358,"Glorieta de la Puerta de Toledo nº 1"
"Puerta del Ángel Caído",27,"69",73,-3.688822,40.409808,"Avenida de Alfonso XII nº 54"
"Puerta del Doce de Octubre",24,"70",74,-3.6779232,40.4153053,"Avenida de Menéndez Pelayo nº 63"
"Puerta del Pacífico",24,"74",78,-3.6766813,40.4117627,"Avenida de Menéndez Pelayo nº 73"
"Puerta del Sol A",24,"1a",1,-3.7024255,40.4168961,"Puerta del Sol nº 1"
"Puerta del Sol B",24,"1b",2,-3.7024207,40.4170009,"Puerta del Sol nº 1"
"Quintana",24,"114",121,-3.7174158,40.4277456,"Calle Quintana nº 11-13"
"Raimundo Fernández",24,"133",150,-3.7001669,40.447125,"Calle Raimundo Fernández Villaverde nº 33-35"
"Red de San Luis A",24,"21a",23,-3.7014814,40.4197872,"Calle Montera nº 48"
"Red de San Luis B",24,"21b",24,-3.7015235,40.4197204,"Calle Montera nº 47"
"Ribera de Curtidores",24,"46",50,-3.7071259,40.4053153,"Calle Ribera de Curtidores nº 28"
"Ronda de Atocha",27,"51",55,-3.6935205,40.4075606,"Ronda de Atocha nº 2"
"Sainz de Baranda",24,"72",76,-3.6691838,40.4157413,"Calle Doctor Esquerdo nº 99"
"San Andrés",24,"11",12,-3.7035918,40.4269483,"Calle San Andrés nº 18"
"San Bernardo",21,"16",17,-3.7075065,40.4230721,"Calle San Bernardo nº 22"
"San Germán",24,"155",139,-3.7009675,40.4572824,"Calle del General Yagüe nº 57"
"San Hermenegildo",24,"12",13,-3.7061931,40.4284246,"Calle San Bernardo nº 85"
"San Quintín",27,"30",34,-3.711504,40.4192095,"Calle Pavía nº 6"
"San Vicente Ferrer",21,"15",16,-3.7073764,40.4261649,"Calle San Vicente Ferrer nº 64"
"Santa Cruz del Marcenado",24,"57",61,-3.7126299,40.4295658,"Calle Santa Cruz del Marcenado nº 24"
"Santa Engracia 127",20,"130",157,-3.7016321,40.441386,"Calle Santa Engracia nº 127"
"Santa Engracia 14",24,"122",130,-3.6963983,40.4295863,"Calle Santa Engracia nº 14"
"Santa Isabel",24,"42",46,-3.6982318,40.4107085,"Calle Atocha nº 32"
"Santa María de la Cabeza",24,"121",129,-3.6987665,40.4017926,"Paseo de Santa María de la Cabeza nº 58"
"Santo Domingo",24,"23",26,-3.7080733,40.4197429,"Plaza de Santo Domingo nº 1"
"Segovia 26",24,"166",8,-3.7135833,,"""Calle Segovia"
"Segovia 45",24,"167",13,-3.717487,,"""Calle Segovia"
"Serrano",24,"105",110,-3.6873922,40.4267905,"Calle Serrano nº 54"
"Serrano 210",24,"148",144,-3.6817962,40.4510188,"Calle Serrano nº 210"
"Sevilla",24,"28",32,-3.69926,40.4181663,"Calle Alcalá nº 27"
"Sor Ángela de la Cruz",24,"156",140,-3.691533,40.4592351,"Calle Sor Ángela de la Cruz nº 2"
"Valderribas",24,"84",89,-3.6726019,40.4032501,"Calle Doctor Esquerdo nº 191"
"Velázquez",24,"102",107,-3.6840229,40.4211802,"Calle Alcalá nº 95"
"Velázquez 130",24,"140",162,-3.682862,40.4379444,"Calle Velázquez nº 130"
"Ventura Rodríguez",24,"14",15,-3.713479,40.4260957,"Calle Ventura Rodríguez nº 2"
"Villanueva",24,"95",100,-3.6870548,40.4226584,"Calle Claudio Coello nº 109"
